condition,feature_set,n_features,model,cv_roc_auc,test_roc_auc,precision_0p5,recall_0p5,f1_0p5,thr_recall80,recall_tuned,precision_tuned
diabetes,full,8,LogReg,0.833,0.823,0.627,0.701,0.662,0.41,0.806,0.581
diabetes,full,8,GaussianNB,0.815,0.78,0.6,0.627,0.613,0.14,0.806,0.514
diabetes,full,8,KNN,0.831,0.8,0.625,0.522,0.569,0.26,0.836,0.519
diabetes,full,8,SVM_RBF,0.828,0.808,0.614,0.522,0.565,0.29,0.806,0.593
diabetes,full,8,DecisionTree,0.752,0.72,0.551,0.731,0.628,0.03,0.896,0.364
diabetes,full,8,RandomForest,0.83,0.819,0.576,0.731,0.645,0.47,0.806,0.587
diabetes,full,8,ExtraTrees,0.827,0.817,0.632,0.537,0.581,0.31,0.806,0.574
diabetes,full,8,AdaBoost,0.825,0.816,0.66,0.522,0.583,0.44,0.836,0.566
diabetes,full,8,GradBoost,0.824,0.818,0.649,0.552,0.597,0.24,0.806,0.614
diabetes,full,8,HistGradBoost,0.798,0.818,0.645,0.597,0.62,0.09,0.821,0.591
diabetes,full,8,XGBoost,0.825,0.813,0.636,0.522,0.574,0.29,0.806,0.581
diabetes,full,8,MLP,0.813,0.794,0.636,0.418,0.505,0.34,0.806,0.545
diabetes,full,8,LightGBM,0.795,0.814,0.636,0.627,0.632,0.18,0.806,0.607
diabetes,full,8,CatBoost,0.831,0.805,0.596,0.507,0.548,0.21,0.806,0.574
diabetes,deployable,8,LogReg,0.81,0.8,0.718,0.742,0.73,0.44,0.806,0.701
diabetes,deployable,8,GaussianNB,0.795,0.789,0.726,0.693,0.709,0.31,0.803,0.692
diabetes,deployable,8,DecisionTree,0.8,0.797,0.701,0.78,0.739,0.47,0.808,0.692
diabetes,deployable,8,RandomForest,0.814,0.806,0.708,0.794,0.749,0.49,0.805,0.707
diabetes,deployable,8,ExtraTrees,0.721,0.704,0.655,0.693,0.673,0.23,0.805,0.62
diabetes,deployable,8,AdaBoost,0.815,0.805,0.72,0.749,0.734,0.48,0.803,0.705
diabetes,deployable,8,GradBoost,0.814,0.807,0.716,0.781,0.747,0.48,0.808,0.713
diabetes,deployable,8,HistGradBoost,0.809,0.804,0.71,0.787,0.747,0.48,0.812,0.705
diabetes,deployable,8,XGBoost,0.816,0.807,0.719,0.78,0.748,0.47,0.804,0.706
diabetes,deployable,8,MLP,0.816,0.805,0.715,0.775,0.744,0.48,0.805,0.71
diabetes,deployable,8,LightGBM,0.812,0.805,0.713,0.785,0.747,0.48,0.804,0.711
diabetes,deployable,8,CatBoost,0.815,0.808,0.718,0.786,0.75,0.48,0.804,0.712
heart,full,13,LogReg,0.877,0.912,0.829,0.843,0.836,0.56,0.803,0.836
heart,full,13,GaussianNB,0.858,0.898,0.857,0.803,0.829,0.59,0.803,0.864
heart,full,13,KNN,0.878,0.904,0.839,0.906,0.871,0.6,0.882,0.862
heart,full,13,SVM_RBF,0.883,0.915,0.811,0.913,0.859,0.74,0.803,0.911
heart,full,13,DecisionTree,0.776,0.865,0.867,0.717,0.784,0.43,0.89,0.796
heart,full,13,RandomForest,0.878,0.907,0.845,0.858,0.852,0.55,0.803,0.879
heart,full,13,ExtraTrees,0.852,0.901,0.846,0.866,0.856,0.64,0.803,0.879
heart,full,13,AdaBoost,0.872,0.912,0.854,0.874,0.864,0.52,0.819,0.867
heart,full,13,GradBoost,0.859,0.898,0.816,0.874,0.844,0.66,0.811,0.873
heart,full,13,HistGradBoost,0.855,0.895,0.829,0.913,0.869,0.71,0.803,0.872
heart,full,13,XGBoost,0.879,0.909,0.843,0.89,0.866,0.63,0.803,0.857
heart,full,13,MLP,0.829,0.803,0.786,0.78,0.783,0.48,0.819,0.732
heart,full,13,LightGBM,0.855,0.9,0.828,0.874,0.851,0.67,0.811,0.88
heart,full,13,CatBoost,0.873,0.915,0.828,0.874,0.851,0.7,0.803,0.903
heart,deployable,6,LogReg,0.859,0.875,0.798,0.811,0.805,0.54,0.803,0.81
heart,deployable,6,GaussianNB,0.85,0.873,0.809,0.835,0.822,0.75,0.803,0.816
heart,deployable,6,KNN,0.842,0.854,0.777,0.906,0.836,0.6,0.85,0.812
heart,deployable,6,SVM_RBF,0.831,0.871,0.796,0.858,0.826,0.61,0.803,0.823
heart,deployable,6,DecisionTree,0.764,0.798,0.776,0.764,0.77,0.39,0.85,0.755
heart,deployable,6,RandomForest,0.855,0.872,0.809,0.835,0.822,0.51,0.811,0.824
heart,deployable,6,ExtraTrees,0.829,0.813,0.794,0.85,0.821,0.57,0.803,0.785
heart,deployable,6,AdaBoost,0.853,0.864,0.81,0.803,0.806,0.5,0.803,0.81
heart,deployable,6,GradBoost,0.834,0.847,0.797,0.835,0.815,0.59,0.803,0.797
heart,deployable,6,HistGradBoost,0.837,0.822,0.764,0.843,0.801,0.67,0.803,0.785
heart,deployable,6,XGBoost,0.857,0.871,0.785,0.89,0.834,0.56,0.811,0.817
heart,deployable,6,MLP,0.837,0.87,0.794,0.85,0.821,0.57,0.803,0.816
heart,deployable,6,LightGBM,0.837,0.835,0.766,0.85,0.806,0.63,0.803,0.791
heart,deployable,6,CatBoost,0.84,0.848,0.786,0.866,0.824,0.59,0.803,0.797
